Well,PHIE,SWE,Reservoir
Demo_Well_3,0.25299,0.63641,VENUS
Demo_Well_3,0.2654,0.55447,VENUS
Demo_Well_3,0.27346,0.50429,VENUS
Demo_Well_3,0.27744,0.4807,VENUS
Demo_Well_3,0.27691,0.47805,VENUS
Demo_Well_3,0.26385,0.51931,VENUS
Demo_Well_3,0.22808,0.63786,VENUS
Demo_Well_3,0.17569,0.83986,VENUS
Demo_Well_3,0.14283,1.0,VENUS
Demo_Well_3,0.12887,1.0,VENUS
Demo_Well_3,0.11276,1.0,VENUS
Demo_Well_3,0.08708,1.0,VENUS
Demo_Well_3,0.09547,1.0,VENUS
Demo_Well_3,0.10924,1.0,VENUS
Demo_Well_3,0.12098,1.0,VENUS
Demo_Well_3,0.1327,1.0,VENUS
Demo_Well_3,0.14375,0.94124,VENUS
Demo_Well_3,0.1604,0.84156,VENUS
Demo_Well_3,0.17347,0.74713,VENUS
Demo_Well_3,0.17083,0.71613,VENUS
Demo_Well_3,0.15523,0.73494,VENUS
Demo_Well_3,0.14224,0.805,VENUS
Demo_Well_3,0.13968,0.88866,VENUS
Demo_Well_3,0.13393,0.94433,VENUS
Demo_Well_3,0.13398,0.92316,VENUS
Demo_Well_3,0.16689,0.72284,VENUS
Demo_Well_3,0.19744,0.58309,VENUS
Demo_Well_3,0.19548,0.57034,VENUS
Demo_Well_3,0.17527,0.62651,VENUS
Demo_Well_3,0.14876,0.75413,VENUS
Demo_Well_3,0.13337,0.88167,VENUS
Demo_Well_3,0.119,1.0,VENUS
Demo_Well_3,0.10491,1.0,VENUS
Demo_Well_3,0.10009,1.0,VENUS
Demo_Well_3,0.10123,1.0,VENUS
Demo_Well_3,0.10699,1.0,VENUS
Demo_Well_3,0.11651,1.0,VENUS
Demo_Well_3,0.12336,1.0,VENUS
Demo_Well_3,0.12578,1.0,VENUS
Demo_Well_3,0.11933,1.0,VENUS
Demo_Well_3,0.11264,1.0,VENUS
Demo_Well_3,0.10938,1.0,VENUS
Demo_Well_3,0.10113,1.0,VENUS
Demo_Well_3,0.10031,1.0,VENUS
Demo_Well_3,0.10819,1.0,VENUS
Demo_Well_3,0.11913,1.0,VENUS
Demo_Well_3,0.12413,0.98116,VENUS
Demo_Well_3,0.12236,0.9942,VENUS
Demo_Well_3,0.11946,0.99724,VENUS
Demo_Well_3,0.12199,0.96089,VENUS
Demo_Well_3,0.12518,0.92801,VENUS
Demo_Well_3,0.12311,0.93546,VENUS
Demo_Well_3,0.11896,0.96255,VENUS
Demo_Well_3,0.12145,0.9632,VENUS
Demo_Well_3,0.12626,0.9444,VENUS
Demo_Well_3,0.13294,0.92148,VENUS
Demo_Well_3,0.13637,0.91984,VENUS
Demo_Well_3,0.13387,0.95524,VENUS
Demo_Well_3,0.12581,0.99878,VENUS
Demo_Well_3,0.13109,0.9544,VENUS
Demo_Well_3,0.14643,0.85108,VENUS
Demo_Well_3,0.15322,0.80847,VENUS
Demo_Well_3,0.14096,0.83759,VENUS
Demo_Well_3,0.1281,0.8955,VENUS
Demo_Well_3,0.12499,0.92031,VENUS
Demo_Well_3,0.13269,0.91797,VENUS
Demo_Well_3,0.14051,0.91817,VENUS
Demo_Well_3,0.13681,0.96873,VENUS
Demo_Well_3,0.124,1.0,VENUS
Demo_Well_3,0.11187,1.0,VENUS
Demo_Well_3,0.10597,1.0,VENUS
Demo_Well_3,0.10939,1.0,VENUS
Demo_Well_3,0.11478,1.0,VENUS
Demo_Well_3,0.11785,1.0,VENUS
Demo_Well_3,0.11244,1.0,VENUS
Demo_Well_3,0.10598,1.0,VENUS
Demo_Well_3,0.1125,1.0,VENUS
Demo_Well_3,0.133,0.95166,VENUS
Demo_Well_3,0.15056,0.84982,VENUS
Demo_Well_3,0.16521,0.7957,VENUS
Demo_Well_3,0.16881,0.7735,VENUS
Demo_Well_3,0.19793,0.67743,VENUS
Demo_Well_3,0.23462,0.59293,VENUS
Demo_Well_3,0.24077,0.55073,VENUS
Demo_Well_3,0.20293,0.5754,VENUS
Demo_Well_3,0.15747,0.62654,VENUS
Demo_Well_3,0.14059,1.0,VENUS
Demo_Well_3,0.16698,0.58117,VENUS
Demo_Well_3,0.19627,0.52715,VENUS
Demo_Well_3,0.20963,0.50122,VENUS
Demo_Well_3,0.20761,0.48789,VENUS
Demo_Well_3,0.19759,0.46972,VENUS
Demo_Well_3,0.19016,0.46151,VENUS
Demo_Well_3,0.19932,0.44957,VENUS
Demo_Well_3,0.21305,0.46045,VENUS
Demo_Well_3,0.2394,0.4788,VENUS
Demo_Well_3,0.26687,0.45505,VENUS
Demo_Well_3,0.27812,0.42761,VENUS
Demo_Well_3,0.26401,0.43146,VENUS
Demo_Well_3,0.22709,0.45626,VENUS
Demo_Well_3,0.18077,0.4677,VENUS
Demo_Well_3,0.1144,1.0,VENUS
Demo_Well_3,0.12693,0.92092,VENUS
Demo_Well_3,0.13815,0.85911,VENUS
Demo_Well_3,0.14023,0.8368,VENUS
Demo_Well_3,0.13195,0.83481,VENUS
Demo_Well_3,0.12122,0.85067,VENUS
Demo_Well_3,0.11895,0.84414,VENUS
Demo_Well_3,0.12909,0.77348,VENUS
Demo_Well_3,0.15519,0.658,VENUS
Demo_Well_3,0.18577,0.57002,VENUS
Demo_Well_3,0.21193,0.53446,VENUS
Demo_Well_3,0.22525,0.52474,VENUS
Demo_Well_3,0.21589,0.51958,VENUS
